Unnamed: 0,category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,jazz
6127,Metal,3pO37BXsjMC2wApALxGbuB,64,0.391,0.8009999999999999,6,-5.102,0.0813,0.000426,0.00020800000000000001,0.0662,0.33899999999999997,146.72899999999996,4,False
5295,Metal,2uenkeJMEfGmjebYnewnlE,55,0.23399999999999999,0.9940000000000001,8,-3.659,0.22899999999999998,0.00117,0.0169,0.16699999999999998,0.0607,95.052,4,False
5933,Metal,7wXekVqkcWA6juGWXXSmpV,27,0.20800000000000002,0.9740000000000001,4,-4.2,0.13,4e-06,0.3670000000000001,0.157,0.23800000000000002,133.016,4,False
5269,Metal,4ABO6X3vc2Y6QFFT6YPjgU,39,0.45,0.851,1,-7.426,0.0394,1.2e-05,0.848,0.248,0.12,115.01899999999999,4,False
5305,Metal,2DpBRXSlfNEWHf8PQkAVvQ,40,0.48200000000000004,0.9159999999999999,5,-4.5569999999999995,0.0473,3.5e-05,0.000588,0.0474,0.38,96.101,4,False
5418,Metal,570k0iNqjdLlBjkVBPajWy,50,0.21100000000000002,0.972,10,-3.755,0.188,0.00323,7.000000000000003e-06,0.573,0.2,143.75,4,False
5942,Metal,3AVZaAbDvR6rs2NN4n0aAF,17,0.321,0.99,6,-4.461,0.204,0.00248,0.0063100000000000005,0.0924,0.195,140.57399999999998,4,False
5858,Metal,2k8Ncco5vdAcOnZGE1vw6s,1,0.5539999999999999,0.628,7,-5.892,0.0261,0.591,7.5e-05,0.10400000000000001,0.23199999999999998,137.001,3,False
6047,Metal,5yrGsJoG4FsTg6luHlNGK2,47,0.6659999999999999,0.7929999999999999,6,-6.028,0.0647,0.0021899999999999997,3e-06,0.0799,0.451,96.04700000000001,4,False
5885,Metal,7fkcqrzdbgIa4vthgYN3vs,41,0.483,0.998,4,-3.205,0.125,0.000176,5e-06,0.264,0.14400000000000002,112.48899999999999,4,False
5898,Metal,2v94YzlQ7jNn2IHcGHw7L6,37,0.23399999999999999,0.943,1,-9.927,0.065,3e-06,0.868,0.11599999999999999,0.29600000000000004,114.823,4,False
5867,Metal,0E86zHdSuJFNcXsDrwJDYK,40,0.369,0.907,4,-7.461,0.0445,1.2e-05,0.46799999999999997,0.0836,0.637,83.03299999999999,4,False
5479,Metal,2tfJfHUDg7w1FuiIoXuDVw,55,0.28300000000000003,0.988,0,-7.017,0.111,3.7e-05,0.728,0.0712,0.14300000000000002,90.791,4,False
6161,Metal,2CC4PLjK6upH9fptAn4jgG,2,0.272,0.7959999999999999,9,-9.661,0.0504,5e-06,0.807,0.205,0.0367,89.01700000000002,4,False
6144,Metal,4vWB3h09KFwuS62Ex7NllR,49,0.23600000000000002,0.981,6,-2.635,0.299,8e-06,0.8740000000000001,0.325,0.129,160.114,4,False
5442,Metal,7vVBP5nMezLwvfcp7dw3XR,46,0.201,0.731,7,-5.686,0.0529,1e-05,0.00015,0.0868,0.252,172.32,4,False
5603,Metal,7a0lsYzYQVJFrYXyJwEugp,38,0.4970000000000001,0.938,4,-7.476,0.0496,0.0012,0.0169,0.409,0.33,109.027,4,False
5419,Metal,0Wjm38BazYve8BfoWX34Im,45,0.401,0.973,10,-2.985,0.17800000000000002,0.000733,2e-06,0.15,0.309,104.40100000000001,4,False
