Unnamed: 0,category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,jazz
795,Electronic/Dance,64zUNPNYxusLnW21zSZ6ZR,61,0.588,0.927,6,-1.78,0.064,0.00293,0.40299999999999997,0.21100000000000002,0.23399999999999999,127.946,4,False
899,Electronic/Dance,3cGCvS7Pt3tH5kmm2mhGai,52,0.5760000000000001,0.9,8,-3.847,0.085,0.006690000000000001,0.6659999999999999,0.9440000000000001,0.153,153.975,4,False
949,Electronic/Dance,3Z3ANEnfT5iSJrNFJFHLQO,64,0.736,0.8909999999999999,0,-4.342,0.0586,0.0374,4e-06,0.34700000000000003,0.0714,130.055,4,False
737,Electronic/Dance,11hPcEmpwrSfBPTK3BLJfJ,49,0.594,0.79,10,-8.356,0.0348,0.00121,0.889,0.371,0.16399999999999998,125.994,4,False
1295,Electronic/Dance,5qFhyL2XmxFOCLKpxLeh3w,33,0.682,0.9470000000000001,11,-4.4639999999999995,0.204,0.0714,0.0753,0.0679,0.647,170.028,4,False
875,Electronic/Dance,7cW2rDoxZMGI5cyBg8GY9z,66,0.546,0.8959999999999999,11,-4.681,0.0288,0.00124,0.000153,0.138,0.27399999999999997,90.02799999999998,4,False
720,Electronic/Dance,6TDvMOL2TY6AMeIrrTHIyk,53,0.585,0.7190000000000001,6,-8.789,0.0364,0.000904,0.9179999999999999,0.0474,0.168,123.01700000000001,4,False
1292,Electronic/Dance,31OzgVD6CTMZwpblIN8BcQ,43,0.7609999999999999,0.802,10,-8.982000000000003,0.0471,0.265,0.037000000000000005,0.0926,0.397,120.98,4,False
1274,Electronic/Dance,6cO4KnbaaEg31TKBfjPgwO,44,0.275,0.9109999999999999,5,-3.282,0.0647,0.0034100000000000003,0.9009999999999999,0.0767,0.113,191.958,3,False
1106,Electronic/Dance,0lbpbUJKVjIzU7ueIlkdI2,38,0.469,0.648,6,-11.333,0.0475,0.0198,0.895,0.0423,0.4320000000000001,130.007,3,False
1367,Electronic/Dance,4ta97KyyCWLCQAAFtOWFpy,56,0.737,0.614,6,-6.001,0.4,0.0168,0.0534,0.0682,0.39399999999999996,127.98700000000001,4,False
840,Electronic/Dance,26ZC396ABpfS0MIbOetGEV,42,0.326,0.795,9,-2.773,0.0419,0.0182,0.0,0.35600000000000004,0.431,81.91199999999998,4,False
1497,Electronic/Dance,5qd4NIeakuzbmnqIwpmFPR,58,0.428,0.36200000000000004,1,-11.614,0.179,0.812,0.9229999999999999,0.107,0.0732,190.025,4,False
893,Electronic/Dance,6x7r0lpyqxBKGq8J7LFMeu,66,0.506,0.726,5,-5.9639999999999995,0.0366,0.0030800000000000003,8.1e-05,0.266,0.266,128.04399999999998,4,False
1233,Electronic/Dance,6LgK9YcHXOV7i3KBCJ8rz6,48,0.812,0.619,2,-7.1270000000000024,0.0478,0.0106,0.865,0.1,0.624,120.01799999999999,4,False
1112,Electronic/Dance,7uokoNu7ipUXzxurlX0ZbA,49,0.531,0.823,10,-7.7570000000000014,0.0487,0.00202,0.001,0.353,0.345,128.058,4,False
1488,Electronic/Dance,3K1FacYAgui6Q3kMcwPG1p,40,0.667,0.9490000000000001,7,-3.228,0.054000000000000006,0.0028699999999999997,0.252,0.621,0.0534,127.95299999999999,4,False
1553,Electronic/Dance,2LCHGwfv14SpVcSnE4xbSf,41,0.5660000000000001,0.48200000000000004,3,-8.795,0.0433,0.762,0.000277,0.102,0.122,126.971,4,False
1198,Electronic/Dance,2Qxu0Sdo8m91TYnLIQjC0v,45,0.7909999999999999,0.861,4,-4.735,0.139,0.00387,0.535,0.319,0.532,124.97,4,False
702,Electronic/Dance,4DZPdvprCsVLAiqrvGzrrN,28,0.48200000000000004,0.961,1,-1.6980000000000002,0.0434,7.900000000000001e-05,0.848,0.25,0.34,174.02200000000005,4,False
1140,Electronic/Dance,1PM8OIREXRl5lFb06852rr,76,0.718,0.6809999999999999,5,-4.593,0.0361,0.255,1.9e-05,0.20800000000000002,0.365,139.99,4,False
